total_price_pln,price_pln,czynsz_pln,area_m2,price_per_m2,rooms,floor_number,year_built,building_type,owner_type,lat,lon,has_balcony,has_terrace,has_garden,has_elevator,has_garage,has_parking,has_storage_room,has_air_conditioning,has_furnished,has_dishwasher,has_washing_machine,has_fridge,has_oven,has_intercom,has_monitoring,has_protected_estate,has_pets_allowed,listing_id,has_image_score,avg_confidence_all,avg_confidence_usable,image_score_mean,image_score_weighted,image_score_top2_weighted,image_score_max,best_overall_quality,best_condition,best_modernness,best_furnishing_quality
2990.0,1990.0,1000.0,23.0,130.0,1.0,2.0,2025.0,apartamentowiec,agency,54.344196,18.662891,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4xS5u,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3500.0,2400.0,1100.0,54.0,64.81,2.0,2.0,2010.0,blok,private,54.333788,18.558172,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,47gZZ,1,0.5,0.5,0.2025,0.2025,0.2025,0.2025,1.0,0.0,0.0,0.0
2700.0,1700.0,1000.0,18.0,150.0,1.0,3.0,2025.0,apartamentowiec,agency,54.344196,18.662891,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,4xS5t,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
7800.0,6600.0,1200.0,120.0,65.0,4.0,4.0,2022.0,apartamentowiec,agency,54.34961,18.65637,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4AoSU,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2850.0,2250.0,600.0,31.0,91.94,1.0,6.0,1980.0,blok,agency,54.393837,18.591964,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4AoMt,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2300.0,1700.0,600.0,17.0,135.29,1.0,2.0,2025.0,apartamentowiec,agency,54.3440219,18.6627894,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,4y4HP,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2590.0,1990.0,600.0,23.0,112.61,1.0,3.0,2025.0,apartamentowiec,agency,54.345157614397,18.665570314356,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,4vVLB,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3140.0,2700.0,440.0,28.0,112.14,1.0,5.0,2019.0,blok,agency,54.350178,18.650743,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4AcEn,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3250.0,2700.0,550.0,44.0,73.86,2.0,2.0,2022.0,blok,agency,54.3424,18.569,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,4zISP,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2800.0,2800.0,0.0,42.5,65.88,2.0,3.0,2019.0,blok,agency,54.29775,18.606513,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,4Ap7C,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3150.0,2550.0,600.0,26.0,121.15,1.0,2.0,2019.0,unknown,agency,54.34961,18.65637,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,4vGnN,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3630.0,3000.0,630.0,36.21,100.25,2.0,1.0,2024.0,blok,private,54.310102669524,18.604519622104,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,4srue,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2900.0,2400.0,500.0,40.0,72.5,2.0,1.0,2019.0,blok,agency,54.3087239,18.594883,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4Ap1U,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
2803.0,2446.0,357.0,29.72,94.31,1.0,5.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,4Aohe,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3900.0,3200.0,700.0,44.0,88.64,2.0,4.0,2024.0,apartamentowiec,agency,54.362747,18.644576,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,4zZVk,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3700.0,3700.0,0.0,67.0,55.22,3.0,9.0,1980.0,blok,private,54.391967056116,18.615217903573,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,4A99L,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2580.0,2200.0,380.0,18.0,143.33,1.0,4.0,1950.0,unknown,agency,54.3514271,18.6505486,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,4AoQs,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3100.0,2500.0,600.0,32.0,96.88,1.0,8.0,2017.0,apartamentowiec,private,54.349618,18.590267,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4xtvE,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
6600.0,5000.0,1600.0,80.0,82.5,3.0,4.0,2010.0,apartamentowiec,agency,54.418574427717,18.60495292402,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4pSBq,1,0.7,0.7,0.5361300000000001,0.5361300000000001,0.5361300000000001,0.5361300000000001,0.8,0.8,0.5,0.7
6999.0,5999.0,1000.0,60.0,116.65,3.0,9.0,2021.0,apartamentowiec,agency,54.410251130948,18.60484243927,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4Ap5z,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3980.0,3000.0,980.0,61.0,65.25,3.0,4.0,2014.0,apartamentowiec,agency,54.370709,18.525503,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4zxDj,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
4690.0,3350.0,1340.0,71.0,66.06,3.0,10.0,2012.0,blok,agency,54.359203,18.581635,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4Aidg,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3449.0,2799.0,650.0,44.0,78.39,2.0,1.0,2014.0,apartamentowiec,agency,54.3295446,18.5672624,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4AcWq,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3199.0,2699.0,500.0,37.0,86.46,2.0,1.0,2020.0,apartamentowiec,agency,54.3116084,18.5726982,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4AcWE,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3999.0,3199.0,800.0,53.0,75.45,3.0,2.0,2022.0,apartamentowiec,agency,54.3102555,18.5987562,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4Ap4o,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
5499.0,4499.0,1000.0,62.0,88.69,2.0,4.0,2020.0,apartamentowiec,agency,54.3506474,18.6652889,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4Ap7b,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3649.0,2999.0,650.0,36.0,101.36,2.0,2.0,1950.0,kamienica,agency,54.3519876,18.6557562,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,4Ap58,0,,,,,,,,,,
3799.0,2999.0,800.0,57.0,66.65,3.0,1.0,2001.0,blok,agency,54.3435009,18.5887656,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,4AcWu,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3400.0,2600.0,800.0,50.0,68.0,2.0,2.0,2024.0,kamienica,agency,54.3504028,18.6348979,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,4zuE9,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3000.0,2100.0,900.0,38.0,78.95,2.0,0.0,1971.0,blok,private,54.421251942381,18.565625062963,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,4Ap1e,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3380.0,2890.0,490.0,35.0,96.57,2.0,3.0,2026.0,apartamentowiec,private,54.3621279,18.6495753,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4Ai1a,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3270.0,2600.0,670.0,35.07,93.24,2.0,1.0,2019.0,blok,private,54.4114,18.58935,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4AoyQ,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
7000.0,3500.0,3500.0,64.0,109.38,3.0,1.0,2019.0,blok,agency,54.351728874973,18.587316607508,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,4Aosp,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
4755.0,4255.0,500.0,52.0,91.44,3.0,6.0,2026.0,apartamentowiec,private,54.3621279,18.6495753,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4Acwh,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
4480.0,3730.0,750.0,50.0,89.6,3.0,0.0,2021.0,apartamentowiec,private,54.4040886,18.5909547,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4AovL,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
10900.0,10000.0,900.0,71.0,153.52,3.0,6.0,2020.0,apartamentowiec,agency,54.34623,18.65692,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,4zAFX,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
2385.0,2130.0,255.0,30.0,79.5,1.0,2.0,2019.0,blok,agency,54.32875,18.58689,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,4AnaC,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
22300.0,12300.0,10000.0,117.9,189.14,3.0,1.0,1925.0,kamienica,agency,54.3782304,18.6106965,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,4zTFW,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2590.0,1990.0,600.0,25.0,103.6,1.0,4.0,2019.0,apartamentowiec,agency,54.37822,18.59636,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,4yDhJ,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3380.0,3000.0,380.0,38.0,88.95,2.0,1.0,2006.0,apartamentowiec,agency,54.407523,18.612,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4Aoq3,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
5250.0,4450.0,800.0,65.0,80.77,3.0,2.0,2024.0,apartamentowiec,agency,54.362747,18.644576,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,4zZVl,1,0.5,0.5,0.2025,0.2025,0.2025,0.2025,1.0,0.0,0.0,0.0
2400.0,1800.0,600.0,22.0,109.09,1.0,2.0,2025.0,apartamentowiec,agency,54.354229959187,18.676513144449,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,4yCQn,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
8000.0,4000.0,4000.0,47.0,170.21,2.0,0.0,2023.0,apartamentowiec,agency,54.380886076107,18.585945875592,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4z1XL,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
7000.0,5800.0,1200.0,90.0,77.78,3.0,0.0,2020.0,apartamentowiec,agency,54.3832313,18.589134,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4A05u,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
6100.0,4900.0,1200.0,76.0,80.26,4.0,4.0,2025.0,apartamentowiec,agency,54.3948113,18.6470756,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,4zU5q,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2300.0,1700.0,600.0,19.0,121.05,1.0,5.0,2024.0,apartamentowiec,agency,54.37822,18.59636,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,4zEAY,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2480.0,2100.0,380.0,25.0,99.2,2.0,3.0,2026.0,unknown,private,54.3621279,18.6495753,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4AipZ,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
2200.0,1600.0,600.0,19.0,115.79,1.0,2.0,2025.0,apartamentowiec,agency,54.354229959187,18.676513144449,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,4yCQ6,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2900.0,2900.0,0.0,66.5,43.61,3.0,3.0,2019.0,unknown,agency,54.3516069,18.5299983,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4A5uw,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
5500.0,5500.0,0.0,76.0,72.37,3.0,2.0,2020.0,apartamentowiec,agency,54.3506792,18.6614621,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4Aoj0,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3150.0,2550.0,600.0,28.0,112.5,2.0,2.0,2025.0,apartamentowiec,agency,54.354229959187,18.676513144449,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,4yCQB,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
4500.0,3600.0,900.0,46.0,97.83,2.0,2.0,2019.0,blok,agency,54.36277,18.63542,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4zAS1,1,0.5,0.5,0.2025,0.2025,0.2025,0.2025,1.0,0.0,0.0,0.0
7900.0,6700.0,1200.0,70.0,112.86,3.0,2.0,2022.0,blok,agency,54.4247538,18.5902657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4ynqb,1,0.8,0.8,0.59595,0.59595,0.59595,0.59595,0.95,0.5,0.5,0.8
1600.0,1600.0,0.0,18.0,88.89,1.0,2.0,2019.0,unknown,agency,54.354229959187,18.676513144449,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4yCPt,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
1700.0,1700.0,0.0,22.0,77.27,1.0,2.0,2019.0,unknown,agency,54.37822,18.59636,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4yCM4,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2580.0,1980.0,600.0,23.0,112.17,1.0,2.0,2019.0,unknown,private,54.4040886,18.5909547,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,4Aox2,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3900.0,2800.0,1100.0,50.0,78.0,2.0,2.0,2019.0,blok,agency,54.3497686,18.6653485,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,4zwrZ,0,,,,,,,,,,
3300.0,2600.0,700.0,35.0,94.29,2.0,3.0,2026.0,apartamentowiec,private,54.3621279,18.6495753,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4AaFh,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
4400.0,3500.0,900.0,65.0,67.69,2.0,1.0,2001.0,apartamentowiec,agency,54.3881248,18.5872198,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,4AoyF,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
6050.0,5500.0,550.0,60.0,100.83,2.0,3.0,1897.0,kamienica,agency,54.3834528,18.6115674,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,4zAFY,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
2200.0,1600.0,600.0,19.0,115.79,1.0,2.0,2025.0,apartamentowiec,agency,54.354229959187,18.676513144449,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,4yDgn,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2300.0,1700.0,600.0,20.5,112.2,1.0,5.0,2019.0,apartamentowiec,agency,54.37822,18.59636,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,4yDft,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
2580.0,1980.0,600.0,23.0,112.17,1.0,2.0,2019.0,unknown,private,54.40318932751,18.589209475128,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,4Aoy7,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
2300.0,1700.0,600.0,20.5,112.2,1.0,5.0,2019.0,apartamentowiec,agency,54.37822,18.59636,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,4yDfC,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2820.0,2400.0,420.0,27.0,104.44,1.0,2.0,1990.0,blok,agency,54.327915352527,18.598913033137,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,4uO6L,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3600.0,3000.0,600.0,32.0,112.5,2.0,3.0,2019.0,apartamentowiec,agency,54.3542394,18.655764,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,4A6iB,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3100.0,2550.0,550.0,44.0,70.45,2.0,4.0,2020.0,blok,private,54.338457,18.540443,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4AlOX,1,0.7,0.7,0.1207499999999999,0.1207499999999999,0.1207499999999999,0.1207499999999999,0.5,0.0,0.0,0.0
2600.0,1800.0,800.0,43.0,60.47,2.0,1.0,1975.0,blok,agency,54.3559592,18.687436,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4Aivm,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3000.0,3000.0,0.0,47.9,62.63,2.0,2.0,2019.0,blok,agency,54.32925205,18.60691275,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,4A55X,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
4280.0,3500.0,780.0,51.0,83.92,2.0,2.0,2019.0,apartamentowiec,agency,54.358611,18.627097,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4Ao4A,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
6000.0,5300.0,700.0,45.32,132.39,2.0,2.0,2024.0,blok,private,54.360272358622,18.654796437378,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4AnZL,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
5200.0,4500.0,700.0,60.5,85.95,2.0,10.0,2019.0,blok,agency,54.34961,18.65637,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4zsg2,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
4000.0,3200.0,800.0,47.0,85.11,2.0,4.0,2019.0,apartamentowiec,agency,54.38288,18.58764,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4AbkA,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
9130.0,7300.0,1830.0,96.0,95.1,4.0,1.0,2019.0,apartamentowiec,agency,54.35097,18.66221,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4zw9W,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3176.0,2300.0,876.0,45.36,70.02,2.0,0.0,2008.0,unknown,agency,54.3530094,18.6110004,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,4Ai5u,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
11200.0,9900.0,1300.0,105.0,106.67,4.0,3.0,2020.0,apartamentowiec,agency,54.4002209,18.6480882,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,4zRSg,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
4150.0,3500.0,650.0,42.0,98.81,2.0,1.0,2021.0,apartamentowiec,agency,54.3832107,18.5891129,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4zJI5,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
6800.0,5800.0,1000.0,79.0,86.08,3.0,2.0,2018.0,apartamentowiec,agency,54.359116209337,18.65317029813,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,4zw6g,1,0.7,0.7,0.5361300000000001,0.5361300000000001,0.5361300000000001,0.5361300000000001,0.8,0.8,0.5,0.7
4700.0,3700.0,1000.0,65.0,72.31,3.0,2.0,2001.0,unknown,agency,54.40675,18.61178,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,4A2yr,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2700.0,3900.0,1200.0,55.0,49.09,2.0,1.0,2012.0,blok,agency,54.421357,18.599515,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,4yNVJ,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3000.0,2550.0,450.0,23.0,130.43,1.0,3.0,1999.0,unknown,agency,54.417848,18.592396,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4zwyf,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
2948.0,2561.0,387.0,29.72,99.19,1.0,6.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4AoeS,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
2630.0,2200.0,430.0,28.11,93.56,1.0,3.0,2019.0,blok,agency,54.3375709,18.5757223,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,4zsfq,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
6000.0,3000.0,3000.0,35.0,171.43,2.0,0.0,2019.0,blok,private,54.40284756692,18.607057575003,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,4AnPu,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3930.0,3200.0,730.0,49.43,79.51,2.0,7.0,2025.0,unknown,agency,54.3956546,18.6481064,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,4zRAj,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
4770.0,3900.0,870.0,55.0,86.73,3.0,3.0,2020.0,apartamentowiec,agency,54.39389,18.62088,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4AfF5,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3450.0,2750.0,700.0,40.0,86.25,2.0,2.0,2017.0,blok,private,54.346579715574,18.665673312312,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4zXt7,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
4550.0,3500.0,1050.0,45.41,100.2,2.0,2.0,2020.0,apartamentowiec,agency,54.4062,18.62146,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,4AfXm,1,0.8,0.8,0.7307999999999999,0.7307999999999999,0.7307999999999999,0.7307999999999999,1.0,1.0,0.5,1.0
3250.0,2600.0,650.0,38.0,85.53,1.0,4.0,2019.0,blok,private,54.379556440256,18.586732170342,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4rEp6,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
